"'Area: Nothing :('","0","filler","Area","Nothing :("
"'Area: Lizardman Settlement'","1","progression","Area","5175"
"'Area: Xeric\'s Shrine'","1","progression","Area","5176"
"'Area: Molch'","1","progression","Area","5177"
"'Area: Keith\'s House'","1","progression","Area","5178"
"'Area: Mount Karuulm'","1","progression","Area","5179"
"'Area: North Mount Karuulm'","1","progression","Area","5180"
"'Area: Ocean Chunk (34S 20W)'","1","progression","Area","5415"
"'Area: Ocean Chunk (34S 18W)'","1","progression","Area","5416"
"'Area: Ocean Chunk (34S 16W)'","1","progression","Area","5417"
"'Area: Ocean Chunk (34S 14W)'","1","progression","Area","5418"
"'Area: Ocean Chunk (34S 12W)'","1","progression","Area","5419"
"'Area: Mistrock Center'","1","progression","Area","5420"
"'Area: Moonrise Alchemical Headquarters'","1","progression","Area","5421"
"'Area: Aldarin Mansions North'","1","progression","Area","5422"
"'Area: Kastori'","1","progression","Area","5423"
"'Area: River Varla Fork'","1","progression","Area","5424"
"'Area: Varla Magic Grove'","1","progression","Area","5425"
"'Area: Gloomthorn Trail'","1","progression","Area","5426"
"'Area: Nemus Retreat'","1","progression","Area","5427"
"'Area: Auburnvale West'","1","progression","Area","5428"
"'Area: Auburnvale Coast'","1","progression","Area","5429"
"'Area: Lacerta Falls'","1","progression","Area","5430"
"'Area: Shayziens\' Wall'","1","progression","Area","5431"
"'Area: Molch Island'","1","progression","Area","5432"
"'Area: Battlefront Dock'","1","progression","Area","5433"
"'Area: Battlefront'","1","progression","Area","5434"
"'Area: The Forsaken Tower'","1","progression","Area","5435"
"'Area: Ocean Chunk (32S 20W)'","1","progression","Area","5671"
"'Area: Ocean Chunk (32S 18W)'","1","progression","Area","5672"
"'Area: Ocean Chunk (32S 16W)'","1","progression","Area","5673"
"'Area: Ocean Chunk (32S 14W)'","1","progression","Area","5674"
"'Area: Ocean Chunk (32S 12W)'","1","progression","Area","5675"
"'Area: Mistrock Cove'","1","progression","Area","5676"
"'Area: Villa Lucens'","1","progression","Area","5677"
"'Area: Aldarin Docks'","1","progression","Area","5678"
"'Area: Black Jaguar Peninsula'","1","progression","Area","5679"
"'Area: Cam Torum Entrance'","1","progression","Area","5680"
"'Area: Ralos\' Rise'","1","progression","Area","5681"
"'Area: Mons Gratia'","1","progression","Area","5682"
"'Area: Auburn Valley Stump'","1","progression","Area","5683"
"'Area: Auburnvale East'","1","progression","Area","5684"
"'Area: Ocean Chunk (32S 8E)'","1","progression","Area","5685"
"'Area: Ruins of Morra'","1","progression","Area","5686"
"'Area: Shayziens\' Gate'","1","progression","Area","5687"
"'Area: Shayzien Dock'","1","progression","Area","5688"
"'Area: Fiery Chasm Entrance'","1","progression","Area","5689"
"'Area: West Lovakengj'","1","progression","Area","5690"
"'Area: Lovakite Mine'","1","progression","Area","5691"
"'Area: Sulphur Mine'","1","progression","Area","5692"
"'Area: Ocean Chunk (30S 20W)'","1","progression","Area","5927"
"'Area: Ocean Chunk (30S 18W)'","1","progression","Area","5928"
"'Area: Ocean Chunk (30S 16W)'","1","progression","Area","5929"
"'Area: Ocean Chunk (30S 14W)'","1","progression","Area","5930"
"'Area: Ocean Chunk (30S 12W)'","1","progression","Area","5931"
"'Area: Ocean Chunk (30S 10W)'","1","progression","Area","5932"
"'Area: Villa Lucens Theatre'","1","progression","Area","5933"
"'Area: Sunset Coast'","1","progression","Area","5934"
"'Area: Hunter Guild Backyard'","1","progression","Area","5935"
"'Area: Cam Torum Path'","1","progression","Area","5936"
"'Area: Varlamore Pyramid'","1","progression","Area","5937"
"'Area: Quetzacalli Gorge'","1","progression","Area","5938"
"'Area: Darkfrost Peak'","1","progression","Area","5939"
"'Area: Auburn Valley Path'","1","progression","Area","5940"
"'Area: Land\'s End'","1","progression","Area","5941"
"'Area: West Kourend Woodland'","1","progression","Area","5942"
"'Area: Graveyard of Heroes'","1","progression","Area","5943"
"'Area: South Shayzien Encampment'","1","progression","Area","5944"
"'Area: North Shayzien Encampment'","1","progression","Area","5945"
"'Area: Lovakengj Assembly'","1","progression","Area","5946"
"'Area: Lovakite Furnace'","1","progression","Area","5947"
"'Area: Blast Mine'","1","progression","Area","5948"
"'Area: Settlement Ruins Corner'","1","progression","Area","5949"
"'Area: Ocean Chunk (28S 22W)'","1","progression","Area","6182"
"'Area: Ocean Chunk (28S 20W)'","1","progression","Area","6183"
"'Area: Ocean Chunk (28S 18W)'","1","progression","Area","6184"
"'Area: Ocean Chunk (28S 16W)'","1","progression","Area","6185"
"'Area: Ocean Chunk (28S 14W)'","1","progression","Area","6186"
"'Area: Shimmering Atoll'","1","progression","Area","6187"
"'Area: Ocean Chunk (28S 10W)'","1","progression","Area","6188"
"'Area: West Wyrm Coast'","1","progression","Area","6189"
"'Area: Sunset Fishing Cove'","1","progression","Area","6190"
"'Area: Hunter Guild'","1","progression","Area","6191"
"'Area: Ortus Farm'","1","progression","Area","6192"
"'Area: Fortis Aqueduct'","1","progression","Area","6193"
"'Area: The Proudspire'","1","progression","Area","6194"
"'Area: Shipwreck Cove'","1","progression","Area","6195"
"'Area: Shipwreck Cove Coast'","1","progression","Area","6196"
"'Area: South Kourend Woodland'","1","progression","Area","6197"
"'Area: West Woodcutting Guild'","1","progression","Area","6198"
"'Area: Shayzien Town Center'","1","progression","Area","6199"
"'Area: Combat Ring'","1","progression","Area","6200"
"'Area: Kourend Castle Rear'","1","progression","Area","6201"
"'Area: The Deeper Lode'","1","progression","Area","6202"
"'Area: Tower of Magic'","1","progression","Area","6203"
"'Area: Settlement Ruins'","1","progression","Area","6204"
"'Area: Unmarked Grave'","1","progression","Area","6205"
"'Area: Ocean Chunk (26S 34W)'","1","progression","Area","6432"
"'Area: Ocean Chunk (26S 32W)'","1","progression","Area","6433"
"'Area: Ocean Chunk (26S 30W)'","1","progression","Area","6434"
"'Area: Ocean Chunk (26S 28W)'","1","progression","Area","6435"
"'Area: Ocean Chunk (26S 26W)'","1","progression","Area","6436"
"'Area: Ocean Chunk (26S 24W)'","1","progression","Area","6437"
"'Area: Ocean Chunk (26S 22W)'","1","progression","Area","6438"
"'Area: Ocean Chunk (26S 20W)'","1","progression","Area","6439"
"'Area: Ocean Chunk (26S 18W)'","1","progression","Area","6440"
"'Area: Ocean Chunk (26S 16W)'","1","progression","Area","6441"
"'Area: Ocean Chunk (26S 14W)'","1","progression","Area","6442"
"'Area: Ocean Chunk (26S 12W)'","1","progression","Area","6443"
"'Area: Ocean Chunk (26S 10W)'","1","progression","Area","6444"
"'Area: Colossal Wyrm Remains'","1","progression","Area","6445"
"'Area: Avium Savannah South'","1","progression","Area","6446"
"'Area: Avium Savannah North'","1","progression","Area","6447"
"'Area: Fortis Wealthy District'","1","progression","Area","6448"
"'Area: Kualti Headquarters'","1","progression","Area","6449"
"'Area: Twilight Trialist Tower'","1","progression","Area","6450"
"'Area: Salvager Overlook'","1","progression","Area","6451"
"'Area: Ocean Chunk (26S 6E)'","1","progression","Area","6452"
"'Area: Crabclaw Caves'","1","progression","Area","6453"
"'Area: East Woodcutting Guild'","1","progression","Area","6454"
"'Area: Watson\'s House'","1","progression","Area","6455"
"'Area: Mess'","1","progression","Area","6456"
"'Area: Kourend Castle'","1","progression","Area","6457"
"'Area: West Arceuus'","1","progression","Area","6458"
"'Area: Arceuus Library'","1","progression","Area","6459"
"'Area: North Arceuus Path'","1","progression","Area","6460"
"'Area: Wintertodt Camp'","1","progression","Area","6461"
"'Area: Wintertodt'","1","progression","Area","6462"
"'Area: Ocean Chunk (24S 34W)'","1","progression","Area","6688"
"'Area: Ocean Chunk (24S 32W)'","1","progression","Area","6689"
"'Area: Ocean Chunk (24S 30W)'","1","progression","Area","6690"
"'Area: Ocean Chunk (24S 28W)'","1","progression","Area","6691"
"'Area: Ocean Chunk (24S 26W)'","1","progression","Area","6692"
"'Area: Ocean Chunk (24S 24W)'","1","progression","Area","6693"
"'Area: Ocean Chunk (24S 22W)'","1","progression","Area","6694"
"'Area: Ocean Chunk (24S 20W)'","1","progression","Area","6695"
"'Area: Ocean Chunk (24S 18W)'","1","progression","Area","6696"
"'Area: Ocean Chunk (24S 16W)'","1","progression","Area","6697"
"'Area: Ocean Chunk (24S 14W)'","1","progression","Area","6698"
"'Area: Ocean Chunk (24S 12W)'","1","progression","Area","6699"
"'Area: Ocean Chunk (24S 10W)'","1","progression","Area","6700"
"'Area: South Varlamore Coast'","1","progression","Area","6701"
"'Area: Locus Oasis'","1","progression","Area","6702"
"'Area: Outer Fortis Farms'","1","progression","Area","6703"
"'Area: Fortis Bazaar'","1","progression","Area","6704"
"'Area: Sunrise Palace'","1","progression","Area","6705"
"'Area: Twilight Temple'","1","progression","Area","6706"
"'Area: Twilight Temple North'","1","progression","Area","6707"
"'Area: Ocean Chunk (24S 6E)'","1","progression","Area","6708"
"'Area: Charcoal Burners Dock'","1","progression","Area","6709"
"'Area: Charcoal Burners'","1","progression","Area","6710"
"'Area: Forthos Ruin'","1","progression","Area","6711"
"'Area: Hosidius Kitchen'","1","progression","Area","6712"
"'Area: Kingstown'","1","progression","Area","6713"
"'Area: East Arceuus'","1","progression","Area","6714"
"'Area: Blood Altar'","1","progression","Area","6715"
"'Area: Dark Altar'","1","progression","Area","6716"
"'Area: Fishing Hamlet'","1","progression","Area","6717"
"'Area: Ocean Chunk (22S 34W)'","1","progression","Area","6944"
"'Area: Ocean Chunk (22S 32W)'","1","progression","Area","6945"
"'Area: Ocean Chunk (22S 30W)'","1","progression","Area","6946"
"'Area: Ocean Chunk (22S 28W)'","1","progression","Area","6947"
"'Area: Ocean Chunk (22S 26W)'","1","progression","Area","6948"
"'Area: Ocean Chunk (22S 24W)'","1","progression","Area","6949"
"'Area: Ocean Chunk (22S 22W)'","1","progression","Area","6950"
"'Area: Ocean Chunk (22S 20W)'","1","progression","Area","6951"
"'Area: Ocean Chunk (22S 18W)'","1","progression","Area","6952"
"'Area: The Crown Jewel'","1","progression","Area","6953"
"'Area: Ocean Chunk (22S 14W)'","1","progression","Area","6954"
"'Area: Ocean Chunk (22S 12W)'","1","progression","Area","6955"
"'Area: Ocean Chunk (22S 10W)'","1","progression","Area","6956"
"'Area: Stonecutter Church'","1","progression","Area","6957"
"'Area: Stonecutter Outpost'","1","progression","Area","6958"
"'Area: Outer Fortis Docks'","1","progression","Area","6959"
"'Area: Fortis East'","1","progression","Area","6960"
"'Area: Fortis Cothon'","1","progression","Area","6961"
"'Area: Ocean Chunk (22S 2E)'","1","progression","Area","6962"
"'Area: Ocean Chunk (22S 4E)'","1","progression","Area","6963"
"'Area: Ocean Chunk (22S 6E)'","1","progression","Area","6964"
"'Area: Crabclaw Isle'","1","progression","Area","6965"
"'Area: Monk Camping Site'","1","progression","Area","6966"
"'Area: Hosidius Fields'","1","progression","Area","6967"
"'Area: Hosidius Square'","1","progression","Area","6968"
"'Area: Piscarilius Station'","1","progression","Area","6969"
"'Area: West Piscarilius'","1","progression","Area","6970"
"'Area: Blood River'","1","progression","Area","6971"
"'Area: Arceuus Essence Mine'","1","progression","Area","6972"
"'Area: Nova Chunk'","1","progression","Area","6973"
"'Area: Ocean Chunk (22S 26E)'","1","progression","Area","6974"
"'Area: Ocean Chunk (22S 28E)'","1","progression","Area","6975"
"'Area: Ocean Chunk (22S 30E)'","1","progression","Area","6976"
"'Area: Ocean Chunk (22S 32E)'","1","progression","Area","6977"
"'Area: Ocean Chunk (20S 34W)'","1","progression","Area","7200"
"'Area: Ocean Chunk (20S 32W)'","1","progression","Area","7201"
"'Area: Ocean Chunk (20S 30W)'","1","progression","Area","7202"
"'Area: Ocean Chunk (20S 28W)'","1","progression","Area","7203"
"'Area: Ocean Chunk (20S 26W)'","1","progression","Area","7204"
"'Area: Ocean Chunk (20S 24W)'","1","progression","Area","7205"
"'Area: Ocean Chunk (20S 22W)'","1","progression","Area","7206"
"'Area: Ocean Chunk (20S 20W)'","1","progression","Area","7207"
"'Area: Ocean Chunk (20S 18W)'","1","progression","Area","7208"
"'Area: Ocean Chunk (20S 16W)'","1","progression","Area","7209"
"'Area: Ocean Chunk (20S 14W)'","1","progression","Area","7210"
"'Area: Ocean Chunk (20S 12W)'","1","progression","Area","7211"
"'Area: Ocean Chunk (20S 10W)'","1","progression","Area","7212"
"'Area: Ocean Chunk (20S 8W)'","1","progression","Area","7213"
"'Area: Ocean Chunk (20S 6W)'","1","progression","Area","7214"
"'Area: Colosseum South Shore'","1","progression","Area","7215"
"'Area: Fortis Colosseum'","1","progression","Area","7216"
"'Area: Colosseum North Shore'","1","progression","Area","7217"
"'Area: Ocean Chunk (20S 2E)'","1","progression","Area","7218"
"'Area: Ocean Chunk (20S 4E)'","1","progression","Area","7219"
"'Area: Ocean Chunk (20S 6E)'","1","progression","Area","7220"
"'Area: South Sand Crabs'","1","progression","Area","7221"
"'Area: Tithe Farm'","1","progression","Area","7222"
"'Area: Vinery'","1","progression","Area","7223"
"'Area: Hosidius Peninsula'","1","progression","Area","7224"
"'Area: Port Piscarilius'","1","progression","Area","7225"
"'Area: Piscarilius Foodhall'","1","progression","Area","7226"
"'Area: Piscarilius Bank'","1","progression","Area","7227"
"'Area: Soul Altar'","1","progression","Area","7228"
"'Area: Ocean Chunk (20S 24E)'","1","progression","Area","7229"
"'Area: Ocean Chunk (20S 26E)'","1","progression","Area","7230"
"'Area: Ocean Chunk (20S 28E)'","1","progression","Area","7231"
"'Area: Ocean Chunk (20S 30E)'","1","progression","Area","7232"
"'Area: Ocean Chunk (20S 32E)'","1","progression","Area","7233"
"'Area: Ocean Chunk (18S 34W)'","1","progression","Area","7456"
"'Area: Ocean Chunk (18S 32W)'","1","progression","Area","7457"
"'Area: Ocean Chunk (18S 30W)'","1","progression","Area","7458"
"'Area: Ocean Chunk (18S 28W)'","1","progression","Area","7459"
"'Area: Ocean Chunk (18S 26W)'","1","progression","Area","7460"
"'Area: Ocean Chunk (18S 24W)'","1","progression","Area","7461"
"'Area: Ocean Chunk (18S 22W)'","1","progression","Area","7462"
"'Area: Ocean Chunk (18S 20W)'","1","progression","Area","7463"
"'Area: Ocean Chunk (18S 18W)'","1","progression","Area","7464"
"'Area: Ocean Chunk (18S 16W)'","1","progression","Area","7465"
"'Area: Ocean Chunk (18S 14W)'","1","progression","Area","7466"
"'Area: Ocean Chunk (18S 12W)'","1","progression","Area","7467"
"'Area: Ocean Chunk (18S 10W)'","1","progression","Area","7468"
"'Area: Ocean Chunk (18S 8W)'","1","progression","Area","7469"
"'Area: Vatrachos Island'","1","progression","Area","7470"
"'Area: Ocean Chunk (18S 4W)'","1","progression","Area","7471"
"'Area: Colosseum Rear Dock'","1","progression","Area","7472"
"'Area: Ocean Chunk (18S 0E)'","1","progression","Area","7473"
"'Area: Ocean Chunk (18S 2E)'","1","progression","Area","7474"
"'Area: Port Roberts'","1","progression","Area","7475"
"'Area: Ocean Chunk (18S 6E)'","1","progression","Area","7476"
"'Area: Chinchompa Island'","1","progression","Area","7477"
"'Area: East Hosidius Shore'","1","progression","Area","7478"
"'Area: East Sand Crabs'","1","progression","Area","7479"
"'Area: Ocean Chunk (18S 14E)'","1","progression","Area","7480"
"'Area: Ocean Chunk (18S 16E)'","1","progression","Area","7481"
"'Area: Ocean Chunk (18S 18E)'","1","progression","Area","7482"
"'Area: Ocean Chunk (18S 20E)'","1","progression","Area","7483"
"'Area: Ocean Chunk (18S 24E)'","1","progression","Area","7485"
"'Area: Ocean Chunk (18S 26E)'","1","progression","Area","7486"
"'Area: Ocean Chunk (18S 28E)'","1","progression","Area","7487"
"'Area: Ocean Chunk (18S 30E)'","1","progression","Area","7488"
"'Area: Ocean Chunk (18S 32E)'","1","progression","Area","7489"
"'Area: Ocean Chunk (16S 34W)'","1","progression","Area","7712"
"'Area: Ocean Chunk (16S 32W)'","1","progression","Area","7713"
"'Area: Ocean Chunk (16S 30W)'","1","progression","Area","7714"
"'Area: Ocean Chunk (16S 28W)'","1","progression","Area","7715"
"'Area: Ocean Chunk (16S 26W)'","1","progression","Area","7716"
"'Area: Ocean Chunk (16S 24W)'","1","progression","Area","7717"
"'Area: Ocean Chunk (16S 22W)'","1","progression","Area","7718"
"'Area: Ocean Chunk (16S 20W)'","1","progression","Area","7719"
"'Area: Ocean Chunk (16S 18W)'","1","progression","Area","7720"
"'Area: Ocean Chunk (16S 16W)'","1","progression","Area","7721"
"'Area: Ocean Chunk (16S 14W)'","1","progression","Area","7722"
"'Area: Deepfin Point'","1","progression","Area","7723"
"'Area: Ocean Chunk (16S 10W)'","1","progression","Area","7724"
"'Area: Ocean Chunk (16S 8W)'","1","progression","Area","7725"
"'Area: Ocean Chunk (16S 6W)'","1","progression","Area","7726"
"'Area: Ocean Chunk (16S 4W)'","1","progression","Area","7727"
"'Area: Minotaurs\' Rest'","1","progression","Area","7728"
"'Area: Ocean Chunk (16S 0E)'","1","progression","Area","7729"
"'Area: Ocean Chunk (16S 2E)'","1","progression","Area","7730"
"'Area: Ocean Chunk (16S 4E)'","1","progression","Area","7731"
"'Area: Ocean Chunk (16S 6E)'","1","progression","Area","7732"
"'Area: Ocean Chunk (16S 8E)'","1","progression","Area","7733"
"'Area: Ocean Chunk (16S 10E)'","1","progression","Area","7734"
"'Area: Ocean Chunk (16S 12E)'","1","progression","Area","7735"
"'Area: Ocean Chunk (16S 14E)'","1","progression","Area","7736"
"'Area: Ocean Chunk (16S 16E)'","1","progression","Area","7737"
"'Area: Ocean Chunk (16S 18E)'","1","progression","Area","7738"
"'Area: Ocean Chunk (16S 20E)'","1","progression","Area","7739"
"'Area: Ocean Chunk (16S 22E)'","1","progression","Area","7740"
"'Area: Ocean Chunk (16S 24E)'","1","progression","Area","7741"
"'Area: Ocean Chunk (16S 26E)'","1","progression","Area","7742"
"'Area: Brittle Isle'","1","progression","Area","7743"
"'Area: Ocean Chunk (16S 30E)'","1","progression","Area","7744"
"'Area: Ocean Chunk (16S 32E)'","1","progression","Area","7745"
"'Area: Ocean Chunk (14S 34W)'","1","progression","Area","7968"
"'Area: Ocean Chunk (14S 32W)'","1","progression","Area","7969"
"'Area: Ocean Chunk (14S 30W)'","1","progression","Area","7970"
"'Area: Ocean Chunk (14S 28W)'","1","progression","Area","7971"
"'Area: Ocean Chunk (14S 26W)'","1","progression","Area","7972"
"'Area: Ocean Chunk (14S 24W)'","1","progression","Area","7973"
"'Area: Ocean Chunk (14S 22W)'","1","progression","Area","7974"
"'Area: Ocean Chunk (14S 20W)'","1","progression","Area","7975"
"'Area: Ocean Chunk (14S 18W)'","1","progression","Area","7976"
"'Area: Ocean Chunk (14S 16W)'","1","progression","Area","7977"
"'Area: Ocean Chunk (14S 14W)'","1","progression","Area","7978"
"'Area: Ocean Chunk (14S 12W)'","1","progression","Area","7979"
"'Area: Ocean Chunk (14S 10W)'","1","progression","Area","7980"
"'Area: Ocean Chunk (14S 8W)'","1","progression","Area","7981"
"'Area: Ocean Chunk (14S 6W)'","1","progression","Area","7982"
"'Area: Ocean Chunk (14S 4W)'","1","progression","Area","7983"
"'Area: Ocean Chunk (14S 2W)'","1","progression","Area","7984"
"'Area: Ocean Chunk (14S 0E)'","1","progression","Area","7985"
"'Area: Ocean Chunk (14S 2E)'","1","progression","Area","7986"
"'Area: Ocean Chunk (14S 4E)'","1","progression","Area","7987"
"'Area: Ocean Chunk (14S 6E)'","1","progression","Area","7988"
"'Area: Ocean Chunk (14S 8E)'","1","progression","Area","7989"
"'Area: Ocean Chunk (14S 10E)'","1","progression","Area","7990"
"'Area: Ocean Chunk (14S 12E)'","1","progression","Area","7991"
"'Area: Ocean Chunk (14S 14E)'","1","progression","Area","7992"
"'Area: Ocean Chunk (14S 16E)'","1","progression","Area","7993"
"'Area: Ocean Chunk (14S 18E)'","1","progression","Area","7994"
"'Area: Ocean Chunk (14S 20E)'","1","progression","Area","7995"
"'Area: Ocean Chunk (14S 22E)'","1","progression","Area","7996"
"'Area: Ocean Chunk (14S 24E)'","1","progression","Area","7997"
"'Area: Ocean Chunk (14S 26E)'","1","progression","Area","7998"
"'Area: Ocean Chunk (14S 28E)'","1","progression","Area","7999"
"'Area: Ocean Chunk (14S 30E)'","1","progression","Area","8000"
"'Area: Ocean Chunk (14S 32E)'","1","progression","Area","8001"
"'Area: Ocean Chunk (12S 34W)'","1","progression","Area","8224"
"'Area: Ocean Chunk (12S 32W)'","1","progression","Area","8225"
"'Area: Ocean Chunk (12S 30W)'","1","progression","Area","8226"
"'Area: Ocean Chunk (12S 28W)'","1","progression","Area","8227"
"'Area: Ocean Chunk (12S 26W)'","1","progression","Area","8228"
"'Area: Ocean Chunk (12S 24W)'","1","progression","Area","8229"
"'Area: Ocean Chunk (12S 22W)'","1","progression","Area","8230"
"'Area: Ocean Chunk (12S 20W)'","1","progression","Area","8231"
"'Area: Wintumber Island'","1","progression","Area","8232"
"'Area: Ocean Chunk (12S 16W)'","1","progression","Area","8233"
"'Area: Shipyard'","1","progression","Area","8234"
"'Area: Ocean Chunk (12S 12W)'","1","progression","Area","8235"
"'Area: Southwest Soul Isle'","1","progression","Area","8236"
"'Area: West Soul Isle'","1","progression","Area","8237"
"'Area: Northwest Soul Isle'","1","progression","Area","8238"
"'Area: Ocean Chunk (12S 4W)'","1","progression","Area","8239"
"'Area: Ocean Chunk (12S 2W)'","1","progression","Area","8240"
"'Area: Lledrith Island'","1","progression","Area","8241"
"'Area: Ocean Chunk (12S 2E)'","1","progression","Area","8242"
"'Area: Ocean Chunk (12S 4E)'","1","progression","Area","8243"
"'Area: Ocean Chunk (12S 6E)'","1","progression","Area","8244"
"'Area: Ocean Chunk (12S 8E)'","1","progression","Area","8245"
"'Area: Ocean Chunk (12S 10E)'","1","progression","Area","8246"
"'Area: Ocean Chunk (12S 12E)'","1","progression","Area","8247"
"'Area: Ocean Chunk (12S 14E)'","1","progression","Area","8248"
"'Area: Buccaneers\' Haven'","1","progression","Area","8249"
"'Area: Ocean Chunk (12S 18E)'","1","progression","Area","8250"
"'Area: Ocean Chunk (12S 20E)'","1","progression","Area","8251"
"'Area: South Moonclan'","1","progression","Area","8252"
"'Area: North Moonclan'","1","progression","Area","8253"
"'Area: Ocean Chunk (12S 26E)'","1","progression","Area","8254"
"'Area: Ocean Chunk (12S 28E)'","1","progression","Area","8255"
"'Area: Ocean Chunk (12S 30E)'","1","progression","Area","8256"
"'Area: Ocean Chunk (12S 32E)'","1","progression","Area","8257"
"'Area: Ocean Chunk (10S 34W)'","1","progression","Area","8480"
"'Area: Ocean Chunk (10S 32W)'","1","progression","Area","8481"
"'Area: Ocean Chunk (10S 30W)'","1","progression","Area","8482"
"'Area: Ocean Chunk (10S 28W)'","1","progression","Area","8483"
"'Area: Ocean Chunk (10S 26W)'","1","progression","Area","8484"
"'Area: Ocean Chunk (10S 24W)'","1","progression","Area","8485"
"'Area: Ocean Chunk (10S 22W)'","1","progression","Area","8486"
"'Area: Ocean Chunk (10S 20W)'","1","progression","Area","8487"
"'Area: Ocean Chunk (10S 18W)'","1","progression","Area","8488"
"'Area: Ocean Chunk (10S 16W)'","1","progression","Area","8489"
"'Area: Ocean Chunk (10S 14W)'","1","progression","Area","8490"
"'Area: Isle Pottery Base'","1","progression","Area","8491"
"'Area: South Isle Hunter'","1","progression","Area","8492"
"'Area: Blue Base'","1","progression","Area","8493"
"'Area: Crumbling Tower'","1","progression","Area","8494"
"'Area: Zul-Andra Entrance'","1","progression","Area","8495"
